unnamed:_0.1,unnamed:_0,restaurant_name,restaurant_type,rate_out_of_5,num_of_ratings,avg_cost_two_people,online_order,table_booking,cuisines_type,area,local_address
2097,2097,Fiero! Pizzeria,Quick Bites,4.0,61,4000,Yes,No,Italian,Koramangala 4Th Block,Koramangala 6th Block
2098,2098,Fifa Cafe,Cafe,3.2,4,3000,No,No,Cafe,Marathahalli,Marathahalli
2099,2099,Fill A Belly Restaurant,Quick Bites,3.6,33,3000,No,No,North Indian,Sarjapur Road,Sarjapur Road
2100,2100,Fill N Chill Resto Bar & Pub,Bar,3.9,597,12000,Yes,Yes,Finger Food,"Byresandra,Tavarekere,Madiwala",Koramangala 4th Block
2101,2101,Fillers,Quick Bites,3.9,138,3000,Yes,No,North Indian,"Byresandra,Tavarekere,Madiwala",BTM
2102,2102,Filmy Kitchen,Quick Bites,3.7,182,4000,Yes,No,North Indian,Bellandur,Bellandur
2103,2103,Fine Day,Quick Bites,3.1,5,5000,No,No,Biryani,Bellandur,Sarjapur Road
2104,2104,Fine Dine Restaurant,Casual Dining,3.7,56,7500,Yes,No,North Indian,Hsr,HSR
2105,2105,Fine Food Restaurant,Quick Bites,3.4,26,5000,Yes,No,North Indian,Kalyan Nagar,Hennur
2106,2106,Firangi Bake,Delivery,3.8,53,6000,Yes,No,Mexican,Rajajinagar,Rajajinagar
2107,2107,Fire And Ice,"Dessert Parlor, Quick Bites",3.7,19,3000,Yes,No,Desserts,Marathahalli,Kaggadasapura
2108,2108,Fire Station,"Pub, Casual Dining",4.4,808,12000,No,Yes,Continental,Electronic City,Electronic City
2109,2109,Firehouse - Bar & Kitchen,Pub,3.9,751,15000,Yes,Yes,Continental,Kalyan Nagar,HBR Layout
2110,2110,Firewood Biryani,Quick Bites,3.9,454,4000,Yes,No,Biryani,Brigade Road,Residency Road
2111,2111,Firki Cafe,Casual Dining,2.8,40,8500,No,Yes,North Indian,Kalyan Nagar,Kalyan Nagar
2112,2112,Fish & Fries Restaurant,Casual Dining,4.0,648,7500,No,No,Continental,Hsr,HSR
2113,2113,Fish And Dish,Quick Bites,3.6,22,3500,Yes,No,Mangalorean,Bannerghatta Road,JP Nagar
2114,2114,Fish Chain,Quick Bites,3.4,12,3000,Yes,No,Seafood,Frazer Town,Kammanahalli
2115,2115,Fish Corner,Quick Bites,3.7,118,4000,Yes,No,North Indian,Malleshwaram,Yeshwantpur
2116,2116,Fish Factory-Citrus Hotel,Fine Dining,3.9,39,26000,No,Yes,Seafood,Church Street,Cunningham Road
2117,2117,Fish Palace,Quick Bites,3.0,28,4500,No,No,Mangalorean,Malleshwaram,Rajajinagar
2118,2118,Fishing Boat,Quick Bites,4.0,89,3000,Yes,No,Kerala,Malleshwaram,Yeshwantpur
2119,2119,Fishing Boat - Hotel Goyal Residency,Casual Dining,3.9,418,8000,Yes,Yes,Seafood,Electronic City,Electronic City
2120,2120,Fishland,Casual Dining,4.2,302,5000,No,No,Seafood,Lavelle Road,Majestic
2121,2121,Fishland 15,Casual Dining,3.9,56,6000,No,No,Mangalorean,Lavelle Road,Majestic
2122,2122,Fishland Deluxe,Quick Bites,3.5,9,5000,No,No,South Indian,Basavanagudi,Jayanagar
2123,2123,Fit Dish Fetish,"Takeaway, Delivery",3.5,38,5000,No,No,Healthy Food,Malleshwaram,West Bangalore
2124,2124,Fitbakes,Delivery,3.6,13,4000,No,No,Bakery,Basavanagudi,Jayanagar
